name,method_name,qiskit_version,release_date,sample_size,platform_name,metric_name,metric_value,seed
tket-ex1_226.qasm circuit benchmark,qiskit compilation,0.24.1,,100,ibm_rochester,circuit depth,10,55
tket-ex1_226.qasm circuit benchmark,qiskit compilation,0.24.1,,100,ibm_rochester,gate count,17,55
tket-ex1_226.qasm circuit benchmark,qiskit compilation,0.24.1,,100,ibm_rochester,circuit depth,11,56
tket-ex1_226.qasm circuit benchmark,qiskit compilation,0.24.1,,100,ibm_rochester,gate count,16,56
tket-ex1_226.qasm circuit benchmark,qiskit compilation,0.24.1,,100,ibm_rochester,circuit depth,10,57
tket-ex1_226.qasm circuit benchmark,qiskit compilation,0.24.1,,100,ibm_rochester,gate count,16,57
tket-ex1_226.qasm circuit benchmark,qiskit compilation,0.24.1,,100,ibm_rochester,circuit depth,9,58
tket-ex1_226.qasm circuit benchmark,qiskit compilation,0.24.1,,100,ibm_rochester,gate count,17,58
tket-ex1_226.qasm circuit benchmark,qiskit compilation,0.24.1,,100,ibm_rochester,circuit depth,13,59
tket-ex1_226.qasm circuit benchmark,qiskit compilation,0.24.1,,100,ibm_rochester,gate count,19,59
tket-ex1_226.qasm circuit benchmark,qiskit compilation,0.24.1,,100,ibm_rochester,circuit depth,9,60
tket-ex1_226.qasm circuit benchmark,qiskit compilation,0.24.1,,100,ibm_rochester,gate count,13,60
tket-ex1_226.qasm circuit benchmark,qiskit compilation,0.24.1,,100,ibm_rochester,circuit depth,11,61
tket-ex1_226.qasm circuit benchmark,qiskit compilation,0.24.1,,100,ibm_rochester,gate count,15,61
tket-ex1_226.qasm circuit benchmark,qiskit compilation,0.24.1,,100,ibm_rochester,circuit depth,10,62
tket-ex1_226.qasm circuit benchmark,qiskit compilation,0.24.1,,100,ibm_rochester,gate count,17,62
tket-ex1_226.qasm circuit benchmark,qiskit compilation,0.24.1,,100,ibm_rochester,circuit depth,10,63
tket-ex1_226.qasm circuit benchmark,qiskit compilation,0.24.1,,100,ibm_rochester,gate count,17,63
tket-ex1_226.qasm circuit benchmark,qiskit compilation,0.24.1,,100,ibm_rochester,circuit depth,10,64
tket-ex1_226.qasm circuit benchmark,qiskit compilation,0.24.1,,100,ibm_rochester,gate count,17,64
tket-ex1_226.qasm circuit benchmark,qiskit compilation,0.24.1,,100,ibm_rochester,circuit depth,9,65
tket-ex1_226.qasm circuit benchmark,qiskit compilation,0.24.1,,100,ibm_rochester,gate count,12,65
tket-ex1_226.qasm circuit benchmark,qiskit compilation,0.24.1,,100,ibm_rochester,circuit depth,11,66
tket-ex1_226.qasm circuit benchmark,qiskit compilation,0.24.1,,100,ibm_rochester,gate count,15,66
tket-ex1_226.qasm circuit benchmark,qiskit compilation,0.24.1,,100,ibm_rochester,circuit depth,10,67
tket-ex1_226.qasm circuit benchmark,qiskit compilation,0.24.1,,100,ibm_rochester,gate count,15,67
tket-ex1_226.qasm circuit benchmark,qiskit compilation,0.24.1,,100,ibm_rochester,circuit depth,9,68
tket-ex1_226.qasm circuit benchmark,qiskit compilation,0.24.1,,100,ibm_rochester,gate count,17,68
tket-ex1_226.qasm circuit benchmark,qiskit compilation,0.24.1,,100,ibm_rochester,circuit depth,10,69
tket-ex1_226.qasm circuit benchmark,qiskit compilation,0.24.1,,100,ibm_rochester,gate count,17,69
